income,happiness
5.40574906,4.853032519
4.761344479,4.59169701
2.763719772,1.384044112
3.574393645,1.424450548
4.39320834,2.944391335
1.78909178,0.458377574
6.239739633,5.097802509
1.651156092,1.723593561
2.134702147,0.268722097
7.004398837,5.362448263
3.594801958,2.968187102
3.39991642,3.261182104
5.091579506,4.45696361
6.562794132,4.795842867
6.546132584,5.588389336
6.117530552,4.691998851
4.530545407,3.710192978
7.310916026,5.747444104
3.897737917,2.799747487
4.863581726,3.567905233
7.176399653,5.029951665
3.859892387,2.71943218
5.693725061,3.999703007
5.754940995,3.98019535
2.286495392,1.89355686
